lr,hidden_size,hidden_layer,batch_size,optim,criterion,Test_RMSE,Test_MAE,Test_R2,slope,int,Test_rmselow
0.01,8,3,16,Adam,MSE,2.168054476855874,1.7622975638852492,-1.9432964842932288,0.3691549526797202,1.2149951168543955,1.0700507599792441
0.01,8,3,16,Adam,L1,2.11282362951905,1.7897484957917527,-1.7952465569477298,0.3711045938513653,1.0709463552912195,1.1006674854617073
0.01,8,3,16,SGD,MSE,2.158392315406221,1.7848515194163164,-1.917120725041546,0.33219558189116255,2.0584900426903263,1.728477484702248
0.01,8,3,16,SGD,L1,1.8608809061618563,1.5358601948219306,-1.168357018819186,0.45677348772756643,0.9364424528906137,0.8182029658044544
0.01,16,1,4,Adam,MSE,1.8978784583832335,1.6468470145546341,-1.2554355601611102,0.3377798472532716,1.3627921523316444,1.1527265629495413
0.01,16,1,4,Adam,L1,2.0143957679437743,1.7796983825266712,-1.5408745969218591,0.1912499613774538,1.9149008989053717,1.2498535899664835
0.01,16,1,4,SGD,MSE,2.01308467595629,1.7757308300411103,-1.5375681600590552,0.3029013972413401,1.3379172812973865,1.239463273030564
0.01,16,1,4,SGD,L1,2.484699890796841,2.174829780316945,-2.8658189656215214,0.0963483523542998,1.774498705135485,1.2889698316067641
0.01,16,1,8,Adam,MSE,2.137303165236822,1.894673270593802,-1.8603941978515355,0.20913047879494442,1.572863792293261,1.1767219197036252
0.01,16,1,8,Adam,L1,1.708628642487056,1.465350793083356,-0.8280538939694471,0.3201372116424362,1.8537773438929435,1.449936710283405
0.01,16,1,8,SGD,MSE,2.128326144672775,1.8628518784633956,-1.8364164183308103,0.34088736030803285,1.2516587510621004,1.501497443502871
0.01,16,1,8,SGD,L1,2.6306100815735722,2.3135961840662493,-3.3331786126756624,0.0998823971672358,1.7101164447910093,1.4835518253089848
0.01,16,1,16,Adam,MSE,1.9139394549964448,1.665069860671326,-1.2937708073311254,0.2810616814702526,1.4173294030839998,0.8542573577322166
0.01,16,1,16,Adam,L1,1.9580019286942705,1.7148516363473785,-1.4006003279781982,0.1822575820685607,2.1049921592656973,1.3468703693349282
0.01,16,1,16,SGD,MSE,2.1750196172137324,1.9139543811918038,-1.962238262266606,0.2896407611240379,1.394481923410993,1.476078492956723
0.01,16,1,16,SGD,L1,2.2870888496578763,1.9765691824592115,-2.275364998391785,0.18665957726931853,1.6394487677542358,1.271811712546927
0.01,16,2,4,Adam,MSE,2.080527364565658,1.7766830544853829,-1.7104443518393104,0.49728833002931716,0.3953771148550899,1.057739986454382
0.01,16,2,4,Adam,L1,2.2027571326295092,1.9145473136536009,-2.038273480643351,0.18445366860666648,1.6039293892293385,0.9278181043526262
0.01,16,2,4,SGD,MSE,1.9750502053986347,1.605260353718761,-1.4425862620412584,0.5771599621399159,1.4636437152274537,1.8248525483702276
