Time;SiteName;ParcelName;PointID;GreenCanopyCover [%];GDD [°C];X;Y;Phenology [BBCH];GLAI [m2/m2];DryBiomass [kg/ha];DAS [d]
03.06.2022 14:02;Strickhof;Hohrueti;1;64.88367403;1397.2;2693652.044;1255543.385;61;6.59;13985.71429;215
17.03.2022 17:25;SwissFutureFarm;Altkloster;0;12.50670633;571.8;2711170.718;1259945.548;23;0.561749269;425;157
17.03.2022 17:25;SwissFutureFarm;Altkloster;0;12.50670633;571.8;2711170.718;1259945.548;23;0.561749269;425;157
12.04.2022 09:48;SwissFutureFarm;Altkloster;0;34.50306708;751.1;2711175.218;1259942.817;31;0.258419702;882.1428571;183
27.04.2022 15:17;SwissFutureFarm;Altkloster;0;85.78350554;898;2711176.443;1259949.598;32;;;198
25.05.2022 10:40;SwissFutureFarm;Altkloster;0;59.31658961;1324;2711178.904;1259941.367;51;4.58;;226
01.06.2022 11:34;SwissFutureFarm;Altkloster;0;61.8038413;1423.1;2711178.096;1259950.072;55;4.01;;233
20.06.2022 10:32;SwissFutureFarm;Altkloster;0;48.50333885;1783.8;2711172.955;1259950.94;71;3.75;;252
11.05.2022 14:27;SwissFutureFarm;Altkloster;0;77.79939126;1071.9;2711178.12;1259943.082;32;2.66;5276.923077;212
08.06.2022 09:17;SwissFutureFarm;Altkloster;0;64.61319158;1544.5;2711176.028;1259947.116;59;5.83;13228.57143;240
15.06.2022 09:39;SwissFutureFarm;Altkloster;0;53.52700316;1667.4;2711174.236;1259940.259;71;4.6;17171.42857;247
19.05.2022 09:30;SwissFutureFarm;Altkloster;0;69.50638383;1219.7;2711175.349;1259945.579;39;5.56;5057.142857;220
17.03.2022 17:46;SwissFutureFarm;Altkloster;2;13.32828851;571.8;2711056.382;1259941.581;23;0.534840363;621.6666667;157
17.03.2022 17:46;SwissFutureFarm;Altkloster;2;13.32828851;571.8;2711056.382;1259941.581;23;0.534840363;621.6666667;157
12.04.2022 10:31;SwissFutureFarm;Altkloster;2;48.1245504;751.1;2711063.401;1259940.273;31;0.516411162;1353.571429;183
27.04.2022 15:39;SwissFutureFarm;Altkloster;2;87.73525536;898;2711068.159;1259934.896;32;;;198
25.05.2022 10:30;SwissFutureFarm;Altkloster;2;73.63666801;1324;2711059.346;1259949.597;51;5.31;;226
01.06.2022 11:27;SwissFutureFarm;Altkloster;2;74.15163645;1423.1;2711062.849;1259942.08;55;5.13;;233
20.06.2022 10:26;SwissFutureFarm;Altkloster;2;39.9581658;1783.8;2711066.868;1259941.387;71;3.61;;252
